day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
9.9수,19:00,한화 이글스,대전,12,1,0,10,1,1,1,23.8,0,1.1,320,80,1000.4,24.8
9.9수,19:00,삼성 라이온즈,대전,3,0,0,4,0,0,0,23.8,0,1.1,320,80,1000.4,24.8
9.9수,19:00,kt wiz,수원,5,1,1,13,0,0,1,18.6,0.3,1,50,97,1004,20.4
9.9수,19:00,두산 베어스,수원,10,0,1,6,0,2,0,18.6,0.3,1,50,97,1004,20.4
9.9수,19:00,롯데 자이언츠,부산,8,0,0,7,0,2,1,23.6,0,5.6,200,84,1001.1,23.7
9.9수,19:00,NC 다이노스,부산,11,1,1,9,1,0,0,23.6,0,5.6,200,84,1001.1,23.7
9.9수,19:00,키움 히어로즈,서울,11,1,3,5,3,1,1,20.4,0,0.8,50,82,998.1,20.8
9.9수,19:00,SK 와이번스,서울,9,2,0,3,2,4,0,20.4,0,0.8,50,82,998.1,20.8
9.10목,19:00,kt wiz,수원,8,4,0,7,1,1,0,24,0,1,270,80,1004.8,22.9
9.10목,19:00,NC 다이노스,수원,13,3,0,4,0,0,1,24,0,1,270,80,1004.8,22.9
9.10목,19:00,두산 베어스,서울,9,0,2,9,0,0,1,24.7,0,2,270,65,999.4,22.1
9.10목,19:00,KIA 타이거즈,서울,7,1,0,7,0,0,0,24.7,0,2,270,65,999.4,22.1
9.10목,19:00,SK 와이번스,인천,9,1,1,5,0,0,1,22.9,0,2.8,270,83,1001.3,22.9
9.10목,19:00,한화 이글스,인천,5,0,0,9,2,0,0,22.9,0,2.8,270,83,1001.3,22.9
9.10목,19:00,삼성 라이온즈,대구,10,0,0,6,0,1,0,24.3,0,0.8,90,64,1002.9,23.5
9.10목,19:00,롯데 자이언츠,대구,21,2,0,6,0,1,1,24.3,0,0.8,90,64,1002.9,23.5
9.10목,19:00,키움 히어로즈,서울,6,1,0,7,0,1,0,24.7,0,2,270,65,999.4,22.1
9.10목,19:00,LG 트윈스,서울,10,1,0,7,0,0,1,24.7,0,2,270,65,999.4,22.1
9.11금,19:00,kt wiz,수원,6,1,0,10,1,0,0,23.5,0,1.3,70,72,1010.6,21.4
9.11금,19:00,NC 다이노스,수원,13,3,2,7,0,0,1,23.5,0,1.3,70,72,1010.6,21.4
9.11금,19:00,SK 와이번스,인천,8,0,0,5,0,2,1,22.6,0,3.1,90,68,1007.1,22.1
9.11금,19:00,한화 이글스,인천,6,0,0,12,1,1,0,22.6,0,3.1,90,68,1007.1,22.1
9.11금,19:00,삼성 라이온즈,대구,8,2,0,9,0,2,0,20.6,1.5,2.2,140,93,1008.5,22.2
9.11금,19:00,롯데 자이언츠,대구,14,1,0,8,1,2,1,20.6,1.5,2.2,140,93,1008.5,22.2
9.11금,19:00,키움 히어로즈,서울,13,0,1,4,1,0,1,22,0,3,50,74,1005.4,21
9.11금,19:00,LG 트윈스,서울,8,0,1,11,0,0,0,22,0,3,50,74,1005.4,21
9.12토,17:00,한화 이글스,대전,7,0,1,10,0,0,0,20,0.3,1.4,340,97,1006.7,23
9.12토,17:00,kt wiz,대전,9,0,3,3,0,0,1,20,0.3,1.4,340,97,1006.7,23
9.12토,17:00,KIA 타이거즈,광주,14,2,0,2,0,0,1,23.2,0,1,50,92,1004.3,25.6
9.12토,17:00,NC 다이노스,광주,6,1,1,7,0,1,0,23.2,0,1,50,92,1004.3,25.6
9.12토,17:00,롯데 자이언츠,부산,6,0,0,6,1,1,0,22.6,0,4.1,70,73,1004.3,24.1
9.12토,17:00,SK 와이번스,부산,5,0,0,2,1,0,1,22.6,0,4.1,70,73,1004.3,24.1
9.12토,17:00,두산 베어스,서울,4,0,0,8,2,0,0,22.6,0.3,2.1,90,80,1005,24.3
9.12토,17:00,키움 히어로즈,서울,9,0,0,6,0,0,1,22.6,0.3,2.1,90,80,1005,24.3
9.12토,17:00,삼성 라이온즈,대구,7,2,1,8,1,0,1,21.4,0,1,110,86,1007.7,23.8
