일시,da,day_text,time_text,team_text,지점명,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,삼성 라이온즈,대구,14,0,0,11,0,2,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,kt wiz,수원,10,0,2,6,0,2,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,롯데 자이언츠,부산,6,0,0,5,0,0,패
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,NC 다이노스,창원,21,3,0,7,1,2,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,SK 와이번스,인천,11,2,0,12,0,0,패
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,두산 베어스,서울,7,1,0,4,0,1,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,KIA 타이거즈,광주,14,1,1,7,1,1,패
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,삼성 라이온즈,대구,13,2,3,13,0,0,패
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,한화 이글스,대전,8,1,0,9,2,0,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,키움 히어로즈,서울,15,1,1,8,1,0,승
2019-04-19 19:00,2019-04-19,2021-04-19,19:00,LG 트윈스,서울,10,0,1,10,1,0,패
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,kt wiz,수원,9,1,1,9,0,0,패
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,롯데 자이언츠,부산,8,1,0,10,1,0,승
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,NC 다이노스,창원,10,1,0,7,0,0,패
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,SK 와이번스,인천,15,3,0,5,0,1,승
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,두산 베어스,서울,14,1,1,3,2,0,승
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,KIA 타이거즈,광주,5,0,0,4,0,0,패
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,삼성 라이온즈,대구,12,0,0,8,0,1,패
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,한화 이글스,대전,12,1,1,6,0,1,승
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,키움 히어로즈,서울,10,0,2,8,1,0,승
2019-04-02 17:00,2019-04-02,2021-04-02,17:00,LG 트윈스,서울,8,0,0,5,0,1,패
