day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.15목,삼성 라이온즈,4,1,3,3,0,0,승
4.15목,kt wiz,17,0,0,7,1,2,승
4.15목,두산 베어스,6,0,0,5,1,2,패
4.15목,LG 트윈스,8,2,1,10,0,1,승
4.15목,키움 히어로즈,10,0,0,6,1,0,패
4.15목,롯데 자이언츠,9,0,3,11,0,0,패
4.15목,KIA 타이거즈,13,0,1,4,1,0,승
4.15목,NC 다이노스,5,1,0,9,0,1,패
4.15목,SSG 랜더스,13,2,1,6,1,0,승
4.16금,KIA 타이거즈,16,0,0,8,0,0,승
4.16금,SSG 랜더스,11,1,0,8,1,1,패
4.16금,두산 베어스,6,0,0,5,2,1,패
4.16금,LG 트윈스,7,0,1,3,2,1,승
4.16금,삼성 라이온즈,11,0,1,7,1,1,패
4.16금,롯데 자이언츠,10,1,0,8,0,2,승
4.16금,키움 히어로즈,10,1,1,7,1,0,패
4.16금,kt wiz,8,0,0,6,0,0,승
4.16금,한화 이글스,7,0,0,10,0,1,패
4.16금,NC 다이노스,11,2,1,5,0,0,승
4.17토,KIA 타이거즈,7,0,1,6,0,0,패
4.17토,SSG 랜더스,12,2,1,8,0,2,승
4.17토,한화 이글스,6,1,1,8,0,1,패
4.17토,NC 다이노스,14,4,2,12,0,0,승
4.17토,두산 베어스,10,0,1,11,1,0,승
4.17토,LG 트윈스,4,1,0,7,1,0,패
4.17토,삼성 라이온즈,17,1,3,5,1,1,승
4.17토,롯데 자이언츠,4,0,0,8,2,1,패
4.17토,키움 히어로즈,9,0,1,8,2,1,패
4.17토,kt wiz,10,0,0,11,1,1,승
4.18일,한화 이글스,11,4,0,7,1,1,승
4.18일,NC 다이노스,5,2,0,8,0,0,패
4.18일,KIA 타이거즈,4,0,0,6,0,0,패
4.18일,SSG 랜더스,5,2,0,7,1,1,승
4.18일,두산 베어스,16,0,1,12,1,1,승
4.18일,LG 트윈스,8,1,0,9,0,2,패
4.18일,삼성 라이온즈,9,2,0,1,1,0,승
4.18일,롯데 자이언츠,4,0,0,11,0,0,패
4.18일,키움 히어로즈,7,1,0,8,0,3,패
4.18일,kt wiz,14,0,1,3,1,2,승
4.20화,KIA 타이거즈,9,2,2,10,0,0,승
4.20화,LG 트윈스,9,1,0,3,4,3,패
4.20화,kt wiz,10,0,2,8,1,0,승
4.20화,NC 다이노스,5,1,0,8,0,1,패
4.20화,두산 베어스,11,3,0,9,0,1,패
4.20화,롯데 자이언츠,10,3,0,3,1,1,승
4.20화,SSG 랜더스,12,3,0,13,0,2,승
4.20화,삼성 라이온즈,12,3,2,8,0,1,패
4.20화,키움 히어로즈,7,1,1,11,0,2,패
4.20화,한화 이글스,8,0,1,6,2,1,승
4.21수,KIA 타이거즈,10,0,1,6,1,1,패
4.21수,LG 트윈스,4,2,0,7,0,1,승
4.21수,kt wiz,8,1,0,5,0,1,패
4.21수,NC 다이노스,9,0,1,4,1,0,승
4.21수,두산 베어스,12,4,0,10,0,0,패
4.21수,롯데 자이언츠,13,2,1,5,1,0,승
4.21수,SSG 랜더스,11,0,0,6,0,4,패
4.21수,삼성 라이온즈,15,3,1,4,0,0,승
4.21수,키움 히어로즈,7,0,0,10,0,1,패
4.21수,한화 이글스,13,0,0,6,1,1,승
4.22목,KIA 타이거즈,5,1,2,7,1,0,승
4.22목,LG 트윈스,7,1,3,6,0,0,패
4.22목,kt wiz,13,1,0,8,0,1,승
4.22목,NC 다이노스,9,3,0,6,1,1,패
4.22목,두산 베어스,18,0,0,2,2,1,승
4.22목,롯데 자이언츠,5,0,0,9,2,4,패
4.22목,SSG 랜더스,7,1,2,13,0,1,승
4.22목,삼성 라이온즈,11,0,0,8,0,3,패
4.22목,키움 히어로즈,11,1,2,3,0,2,승
4.22목,한화 이글스,7,1,0,2,1,1,패
4.23금,LG 트윈스,9,1,1,6,2,1,승
4.23금,한화 이글스,4,0,0,15,1,1,패
4.23금,롯데 자이언츠,11,3,0,3,3,1,승
4.23금,kt wiz,12,0,2,7,0,0,패
4.23금,NC 다이노스,5,1,0,5,0,1,패
4.23금,두산 베어스,11,1,0,6,0,0,승
4.23금,SSG 랜더스,11,0,2,3,1,1,승
4.23금,키움 히어로즈,10,0,2,5,0,1,패
4.23금,삼성 라이온즈,5,0,0,12,1,2,패
4.23금,KIA 타이거즈,9,0,0,5,1,0,승
4.24토,LG 트윈스,10,0,0,5,1,2,패
4.24토,한화 이글스,18,2,2,7,1,1,승
4.24토,SSG 랜더스,11,2,2,5,1,0,승
4.24토,키움 히어로즈,10,1,1,10,1,0,패
4.24토,롯데 자이언츠,15,0,1,4,2,0,승
4.24토,kt wiz,7,1,1,4,0,1,패
4.24토,NC 다이노스,12,0,0,11,0,1,패
4.24토,두산 베어스,14,2,0,2,0,1,승
4.24토,삼성 라이온즈,13,2,2,2,0,0,승
4.24토,KIA 타이거즈,9,0,0,8,2,0,패
4.25일,LG 트윈스,9,1,1,8,0,0,승
4.25일,한화 이글스,1,0,0,12,2,0,패
4.25일,롯데 자이언츠,8,1,0,8,1,1,패
4.25일,kt wiz,10,1,3,8,0,2,승
4.25일,NC 다이노스,15,1,0,0,0,1,승
4.25일,두산 베어스,5,0,0,4,0,0,패
4.25일,SSG 랜더스,6,1,0,9,0,0,패
4.25일,키움 히어로즈,9,0,0,5,1,1,승
4.25일,삼성 라이온즈,9,0,1,6,1,0,승
4.25일,KIA 타이거즈,10,0,0,7,1,1,패
4.27화,한화 이글스,6,0,2,6,1,2,패
4.27화,KIA 타이거즈,6,0,0,7,0,0,승
4.27화,kt wiz,18,1,2,8,1,1,승
4.27화,SSG 랜더스,8,1,0,10,0,1,패
4.27화,롯데 자이언츠,4,0,2,10,0,0,패
4.27화,LG 트윈스,8,2,0,5,0,0,승
4.27화,NC 다이노스,6,0,0,8,0,0,패
4.27화,삼성 라이온즈,14,3,0,5,2,1,승
4.27화,두산 베어스,12,0,0,4,1,0,패
4.27화,키움 히어로즈,10,0,0,3,2,1,승
4.28수,한화 이글스,3,0,0,16,1,2,패
4.28수,KIA 타이거즈,5,0,1,2,0,0,승
4.28수,kt wiz,6,1,1,13,1,1,패
4.28수,SSG 랜더스,7,0,0,3,0,0,승
4.28수,롯데 자이언츠,7,1,1,6,0,1,승
4.28수,LG 트윈스,2,0,0,14,0,0,패
4.28수,NC 다이노스,7,2,1,14,0,2,패
4.28수,삼성 라이온즈,11,0,0,8,0,0,승
4.28수,두산 베어스,11,1,1,9,2,2,패
4.28수,키움 히어로즈,13,0,0,7,0,0,승
