day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.15목,5.1,두산 베어스,14,1,1,8,0,1,승,0,인천,,,,,,,,108,서울,7.12,26.6,,71
5.15목,5.1,SK 와이번스,4,0,1,7,0,3,패,1,인천,,,,,,,,108,서울,7.13,26.3,,74
5.16금,5.1,NC 다이노스,5,0,0,8,0,0,패,0,서울,,,,,,,,108,서울,7.14,29.7,,54
5.16금,5.1,두산 베어스,13,3,1,9,0,2,승,1,서울,,,,,,,,108,서울,7.15,29.5,,59
5.16금,5.1,SK 와이번스,7,1,2,8,1,2,패,0,대전,,,,,,,,108,서울,7.16,31.2,,46
5.16금,5.1,한화 이글스,10,0,1,6,1,0,승,1,대전,,,,,,,,108,서울,7.17,27.6,0,74
5.16금,5.1,삼성 라이온즈,6,2,1,5,1,0,승,0,광주,,,,,,,,108,서울,7.18,29.7,,62
5.16금,5.1,KIA 타이거즈,6,0,3,8,0,0,패,1,광주,,,,,,,,108,서울,7.19,29.3,,71
5.16금,5.1,키움 히어로즈,7,1,2,6,2,1,패,0,부산,,,,,,,,108,서울,7.20,29.4,,70
5.16금,5.1,롯데 자이언츠,12,0,0,7,1,0,승,1,부산,,,,,,,,108,서울,7.21,30,,62
5.17토,5.1,NC 다이노스,4,0,1,2,0,0,패,0,서울,,,,,,,,108,서울,7.22,25.9,0.2,85
5.17토,5.1,두산 베어스,11,0,1,2,2,2,승,1,서울,,,,,,,,108,서울,7.23,23.4,0,89
5.17토,5.1,SK 와이번스,16,0,6,6,0,1,승,0,대전,,,,,,,,108,서울,7.24,24.5,,74
5.17토,5.1,한화 이글스,10,1,0,8,1,1,패,1,대전,,,,,,,,108,서울,7.25,32.8,,52
5.17토,5.1,삼성 라이온즈,18,3,0,6,2,3,승,0,광주,,,,,,,,108,서울,7.26,24,,68
5.17토,5.1,KIA 타이거즈,11,1,1,8,0,2,패,1,광주,,,,,,,,108,서울,7.27,28.4,,68
5.17토,5.1,키움 히어로즈,13,0,0,3,0,1,승,0,부산,,,,,,,,108,서울,7.28,29.2,,67
5.17토,5.1,롯데 자이언츠,8,1,0,7,0,5,패,1,부산,,,,,,,,108,서울,7.29,29.2,,63
5.18일,5.1,NC 다이노스,14,2,0,7,1,1,승,0,서울,,,,,,,,108,서울,7.30,33,,55
5.18일,5.1,두산 베어스,10,2,0,2,0,1,패,1,서울,,,,,,,,108,서울,7.31,30.4,1.5,82
5.18일,5.1,SK 와이번스,12,0,0,5,1,0,패,0,대전,,,,,,,,108,서울,8.1,33.5,,51
5.18일,5.1,한화 이글스,13,0,0,3,1,0,승,1,대전,,,,,,,,108,서울,8.2,32.5,,55
5.18일,5.1,삼성 라이온즈,16,1,2,6,0,0,승,0,광주,,,,,,,,108,서울,8.3,26.1,1.5,100
5.18일,5.1,KIA 타이거즈,6,0,0,4,0,1,패,1,광주,,,,,,,,108,서울,8.4,29.2,,80
5.18일,5.1,키움 히어로즈,11,1,0,10,0,3,패,0,부산,,,,,,,,108,서울,8.5,28.4,,79
5.18일,5.1,롯데 자이언츠,12,2,0,3,1,0,승,1,부산,,,,,,,,108,서울,8.6,23.6,4,100
5.20화,5.2,한화 이글스,4,1,1,2,2,2,패,0,서울,,,,,,,,108,서울,8.7,26.7,,79
5.20화,5.2,키움 히어로즈,8,2,0,3,2,0,승,1,서울,,,,,,,,108,서울,8.8,29.5,,48
5.20화,5.2,LG 트윈스,7,1,1,6,1,1,패,0,광주,,,,,,,,108,서울,8.9,29.1,,38
5.20화,5.2,KIA 타이거즈,12,4,1,3,0,2,승,1,광주,,,,,,,,108,서울,8.10,20.8,19,100
5.20화,5.2,롯데 자이언츠,8,0,0,12,0,1,패,0,대구,,,,,,,,108,서울,8.11,26.9,,68
5.20화,5.2,삼성 라이온즈,9,1,0,2,0,2,승,1,대구,,,,,,,,108,서울,8.12,29,,61
5.20화,5.2,SK 와이번스,7,1,0,1,1,0,패,0,창원,,,,,,,,108,서울,8.13,24.7,0,61
5.20화,5.2,NC 다이노스,9,2,1,7,0,0,승,1,창원,,,,,,,,108,서울,8.14,22.3,,80
5.21수,5.2,한화 이글스,15,2,1,8,2,1,승,0,서울,,,,,,,,108,서울,8.15,28.8,,62
5.21수,5.2,키움 히어로즈,11,1,0,8,1,1,패,1,서울,,,,,,,,108,서울,8.16,28.9,,65
5.21수,5.2,LG 트윈스,8,1,2,10,0,0,승,0,광주,,,,,,,,108,서울,8.17,23.8,0,80
5.21수,5.2,KIA 타이거즈,8,0,0,7,1,1,패,1,광주,,,,,,,,108,서울,8.18,23.3,,85
5.21수,5.2,롯데 자이언츠,13,0,0,9,0,1,패,0,대구,,,,,,,,108,서울,8.19,24.6,,88
5.21수,5.2,삼성 라이온즈,7,3,2,4,0,0,승,1,대구,,,,,,,,108,서울,8.20,27,,75
5.21수,5.2,SK 와이번스,16,2,0,9,0,0,승,0,창원,,,,,,,,108,서울,8.21,23.7,,87
5.21수,5.2,NC 다이노스,8,0,1,7,0,0,패,1,창원,,,,,,,,108,서울,8.22,26.6,,71
5.22목,5.2,한화 이글스,20,1,0,5,1,2,승,0,서울,,,,,,,,108,서울,8.23,27.5,,67
5.22목,5.2,키움 히어로즈,9,0,0,4,3,2,패,1,서울,,,,,,,,108,서울,8.24,27.5,,68
5.22목,5.2,LG 트윈스,21,0,2,5,1,1,승,0,광주,,,,,,,,108,서울,8.25,27.3,,64
5.22목,5.2,KIA 타이거즈,15,3,0,7,3,1,패,1,광주,,,,,,,,108,서울,8.26,25.8,1,85
5.22목,5.2,롯데 자이언츠,10,1,2,10,0,1,패,0,대구,,,,,,,,108,서울,8.27,27.5,,60
