day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
4.30화,삼성 라이온즈,4,0,0,6,1,0,0,서울,16.1,0,36,,,,
5.1수,삼성 라이온즈,11,1,0,7,0,0,0,대구,14.2,0,48,,,,
5.2목,삼성 라이온즈,9,0,4,4,2,0,0,대구,16.4,0,55,,,,
5.3금,삼성 라이온즈,14,2,0,4,2,1,1,부산,14.5,0,71,,,,
5.4토,삼성 라이온즈,9,1,0,4,1,0,1,부산,16.3,0,60,,,,
5.5일,삼성 라이온즈,11,2,1,5,2,0,1,부산,20.4,0,37,,,,
5.10금,삼성 라이온즈,4,0,2,10,0,1,1,대구,21.9,0,64,,,,
5.11토,삼성 라이온즈,10,2,0,8,0,1,1,대구,26.3,0,21,,,,
5.12일,삼성 라이온즈,11,0,2,7,0,0,1,대구,29.2,0,25,,,,
5.14화,삼성 라이온즈,13,0,2,10,1,1,1,서울,23,0,44,,,,
5.15수,삼성 라이온즈,14,1,2,4,1,0,1,서울,21.9,0,48,,,,
5.16목,삼성 라이온즈,2,0,0,7,1,3,0,서울,27.5,0,24,,,,
5.17금,삼성 라이온즈,8,0,0,6,3,1,1,창원,17.6,0,58,,,,
5.18토,삼성 라이온즈,9,0,1,6,0,1,1,창원,21,0,57,,,,
5.19일,삼성 라이온즈,12,2,1,11,0,0,1,창원,19.4,0,84,,,,
5.21화,삼성 라이온즈,9,1,0,13,1,1,1,대구,28.8,0,13,,,,
5.22수,삼성 라이온즈,3,1,1,7,1,0,0,대구,29.3,0,34,,,,
5.23목,삼성 라이온즈,8,0,1,6,1,0,0,대구,28.1,0,34,,,,
5.24금,삼성 라이온즈,10,1,3,7,0,1,1,대전,27.4,0,43,,,,
5.25토,삼성 라이온즈,7,0,2,6,0,1,1,대전,30,0,40,,,,
5.26일,삼성 라이온즈,8,0,0,9,1,0,0,대전,26,0,57,,,,
5.30목,삼성 라이온즈,8,1,2,5,1,1,1,인천,19,0,65,,,,
5.31금,삼성 라이온즈,3,0,1,6,0,0,0,대구,26.2,0,25,,,,
6.1토,삼성 라이온즈,6,0,2,5,0,0,0,대구,25.8,0,39,,,,
6.2일,삼성 라이온즈,10,2,1,6,1,1,1,대구,24.9,0,43,,,,
6.4화,삼성 라이온즈,9,0,0,7,2,0,0,서울,27,0,45,,,,
6.6목,삼성 라이온즈,7,1,0,6,2,1,0,서울,28.7,0,36,,,,
6.7금,삼성 라이온즈,5,1,2,7,2,0,1,대구,27.5,0,40,,,,
6.8토,삼성 라이온즈,9,1,2,6,0,0,1,대구,25.8,0,50,,,,
6.9일,삼성 라이온즈,8,1,2,7,0,1,1,대구,24.9,0,52,,,,
6.14금,삼성 라이온즈,16,2,1,6,1,0,1,창원,21.8,0,88,,,,
6.15토,삼성 라이온즈,10,1,0,4,1,2,0,창원,26.7,0,69,,,,
6.19수,삼성 라이온즈,8,0,0,8,0,0,0,인천,24.6,0,78,,,,
6.20목,삼성 라이온즈,12,2,0,3,1,0,1,인천,25.2,0,72,,,,
6.21금,삼성 라이온즈,8,0,2,12,0,1,0,대구,25.2,0,72,,,,
6.22토,삼성 라이온즈,11,4,0,6,0,1,1,대구,26.6,0,61,,,,
6.23일,삼성 라이온즈,8,0,0,8,1,2,0,대구,24.5,0,64,,,,
6.26수,삼성 라이온즈,5,0,1,6,1,1,0,대전,27.7,0,71,,,,
6.28금,삼성 라이온즈,9,3,2,12,0,1,1,대구,28.4,0,47,,,,
6.29토,삼성 라이온즈,7,2,0,5,1,0,1,대구,30,0,47,,,,
6.30일,삼성 라이온즈,14,2,1,1,1,0,1,대구,29.9,0,44,,,,
7.2화,삼성 라이온즈,9,0,0,6,0,1,1,부산,24.9,0,91,,,,
7.3수,삼성 라이온즈,6,1,0,9,0,2,0,부산,24.5,0,80,,,,
7.5금,삼성 라이온즈,10,2,1,3,1,2,0,서울,29.1,0,60,,,,
7.6토,삼성 라이온즈,8,2,0,3,1,1,0,서울,29.2,0,57,,,,
7.7일,삼성 라이온즈,18,0,0,6,1,0,1,서울,25,0,82,,,,
7.9화,삼성 라이온즈,4,2,0,8,0,3,0,대구,32.2,0,52,,,,
7.10수,삼성 라이온즈,10,1,0,5,1,0,1,대구,33.7,0,46,,,,
7.11목,삼성 라이온즈,10,0,2,6,1,1,0,대구,33.8,0,45,,,,
7.12금,삼성 라이온즈,13,2,2,7,0,0,1,대구,31.2,0,53,,,,
7.13토,삼성 라이온즈,7,1,0,6,0,2,1,대구,29.9,0,69,,,,
7.23화,삼성 라이온즈,9,1,0,4,1,0,1,대구,29.9,0,67,,,,
7.24수,삼성 라이온즈,9,1,0,5,1,1,1,대구,32,0,53,,,,
7.25목,삼성 라이온즈,10,1,2,6,0,0,1,대구,32.9,0,37,,,,
7.26금,삼성 라이온즈,15,2,3,4,1,1,1,대구,32.8,0,38,,,,
7.27토,삼성 라이온즈,15,1,0,5,3,1,1,대구,31.7,0,40,,,,
7.28일,삼성 라이온즈,9,0,0,8,2,1,0,대구,29,0,74,,,,
7.30화,삼성 라이온즈,16,1,0,11,1,0,1,광주,28.5,0,77,,,,
7.31수,삼성 라이온즈,16,2,1,8,0,1,1,광주,30.2,0,67,,,,
8.1목,삼성 라이온즈,17,0,2,3,1,0,1,광주,31.1,0,67,,,,
8.2금,삼성 라이온즈,7,0,0,8,0,0,0,서울,28.7,0,81,,,,
8.3토,삼성 라이온즈,9,1,1,10,2,0,1,서울,30.8,0,63,,,,
8.4일,삼성 라이온즈,10,0,1,7,0,2,0,서울,29.8,0,66,,,,
8.8목,삼성 라이온즈,16,3,0,3,2,0,1,대구,36,0,43,,,,
8.9금,삼성 라이온즈,5,0,0,6,2,0,0,대구,35.9,0,46,,,,
8.10토,삼성 라이온즈,12,2,0,9,1,0,1,광주,34.7,0,46,,,,
8.11일,삼성 라이온즈,8,1,0,10,0,2,0,광주,33.9,0,54,,,,
8.13화,삼성 라이온즈,15,0,0,7,1,1,0,대구,34.4,0,46,,,,
8.14수,삼성 라이온즈,12,2,2,7,1,0,1,대구,34.7,0,39,,,,
8.15목,삼성 라이온즈,6,1,0,7,1,0,0,창원,30.7,0,54,,,,
8.16금,삼성 라이온즈,5,0,0,8,0,1,0,창원,31.3,0,49,,,,
8.17토,삼성 라이온즈,11,0,0,3,2,0,1,대구,34.6,0,33,,,,
8.18일,삼성 라이온즈,11,1,0,6,1,0,0,대구,35.7,0,35,,,,
8.20화,삼성 라이온즈,12,0,0,7,1,1,0,대구,30.6,0,57,,,,
8.21수,삼성 라이온즈,13,3,0,6,0,0,1,대구,31.3,0,60,,,,
8.22목,삼성 라이온즈,6,3,0,8,0,0,1,대구,29.6,0,84,,,,
8.23금,삼성 라이온즈,7,0,1,8,0,2,0,대구,26.6,0,89,,,,
8.25일,삼성 라이온즈,11,0,0,5,0,0,1,부산,27,0,59,,,,
8.27화,삼성 라이온즈,5,1,0,4,0,1,1,대구,30.5,0,43,,,,
8.28수,삼성 라이온즈,5,0,0,3,1,2,0,대구,30.8,0,38,,,,
8.29목,삼성 라이온즈,4,1,1,5,1,0,0,인천,26,0,98,,,,
8.30금,삼성 라이온즈,9,0,1,10,0,0,1,인천,24.7,0,80,,,,
9.1일,삼성 라이온즈,7,0,0,3,1,2,0,서울,26.9,0,35,,,,
9.3화,삼성 라이온즈,7,0,1,7,1,0,0,대구,22.9,0,61,,,,
9.4수,삼성 라이온즈,12,0,1,6,0,0,0,대구,24.6,0,46,,,,
9.7토,삼성 라이온즈,16,0,0,2,2,1,1,서울,25.8,0,44,,,,
9.8일,삼성 라이온즈,7,1,0,8,1,0,0,서울,26.1,0,42,,,,
9.11수,삼성 라이온즈,10,3,0,10,0,0,1,서울,20.7,0,90,,,,
9.12목,삼성 라이온즈,2,0,0,8,0,0,0,대구,22.1,0,89,,,,
9.13금,삼성 라이온즈,11,1,0,5,0,0,1,대구,30.3,0,53,,,,
9.14토,삼성 라이온즈,5,1,2,5,0,0,0,대전,23.7,0,86,,,,
9.15일,삼성 라이온즈,15,0,0,4,2,0,1,대전,24.8,0,77,,,,
9.17화,삼성 라이온즈,10,0,0,4,1,3,1,대구,28.5,0,31,,,,
9.18수,삼성 라이온즈,11,2,0,6,1,0,1,대구,26.8,0,46,,,,
9.19목,삼성 라이온즈,13,2,0,6,2,0,1,서울,28.1,0,48,,,,
9.21토,삼성 라이온즈,14,0,2,8,0,0,1,서울,25.7,0,62,,,,
