day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
5.17금,LG 트윈스,8,0,0,2,0,0,0,서울,24.9,0,31,,,,,,,,,
5.18토,LG 트윈스,10,0,0,4,0,0,0,서울,19.2,0.1,57,,,,,,,,,
5.19일,LG 트윈스,11,0,1,7,1,0,1,서울,19.8,0,70,,,,,,,,,
5.21화,LG 트윈스,7,1,0,11,0,0,0,대구,28.8,0,13,,,,,,,,,
5.22수,LG 트윈스,15,2,3,6,1,0,1,대구,29.3,0,34,,,,,,,,,
5.23목,LG 트윈스,8,0,0,9,0,0,1,대구,28.1,0,34,,,,,,,,,
5.24금,LG 트윈스,9,0,1,8,1,1,1,서울,25.5,0,41,,,,,,,,,
5.25토,LG 트윈스,4,0,1,5,1,3,0,서울,28.7,0,37,,,,,,,,,
5.26일,LG 트윈스,6,0,0,11,0,1,1,서울,24.7,0,45,,,,,,,,,
5.28화,LG 트윈스,9,0,2,7,1,0,0,서울,20.1,0,86,,,,,,,,,
5.29수,LG 트윈스,11,1,1,7,0,0,1,서울,15.5,0,88,,,,,,,,,
5.30목,LG 트윈스,11,0,1,7,1,0,1,서울,23.5,0,32,,,,,,,,,
5.31금,LG 트윈스,15,2,1,8,1,0,1,광주,24.4,0,45,,,,,,,,,
6.1토,LG 트윈스,13,0,2,8,0,1,1,광주,23.1,0,53,,,,,,,,,
6.2일,LG 트윈스,11,0,0,6,0,2,1,광주,26.3,0,55,,,,,,,,,
6.4화,LG 트윈스,9,2,0,7,1,1,0,서울,27,0,45,,,,,,,,,
6.5수,LG 트윈스,8,1,0,2,2,0,1,서울,27.5,0,47,,,,,,,,,
6.6목,LG 트윈스,9,1,1,3,0,1,1,서울,28.7,0,36,,,,,,,,,
6.7금,LG 트윈스,13,1,2,4,0,0,1,서울,28.5,0,34,,,,,,,,,
6.8토,LG 트윈스,11,0,1,5,0,0,1,서울,29.5,0,48,,,,,,,,,
6.9일,LG 트윈스,5,0,0,7,1,1,0,서울,31.4,0,21,,,,,,,,,
6.11화,LG 트윈스,8,1,0,6,0,0,1,대전,23.2,0,78,,,,,,,,,
6.13목,LG 트윈스,10,1,0,7,0,0,1,대전,25.3,0,70,,,,,,,,,
6.14금,LG 트윈스,8,1,0,2,0,0,1,서울,27,0,54,,,,,,,,,
6.15토,LG 트윈스,12,2,0,6,1,1,1,서울,27.6,0,45,,,,,,,,,
6.16일,LG 트윈스,9,1,1,8,0,0,1,서울,24.4,0,58,,,,,,,,,
6.19수,LG 트윈스,6,2,2,13,1,0,1,창원,22.8,0,85,,,,,,,,,
6.20목,LG 트윈스,8,0,0,5,2,1,0,창원,24.7,0,79,,,,,,,,,
6.21금,LG 트윈스,11,1,0,4,0,0,1,대구,25.2,0,72,,,,,,,,,
6.22토,LG 트윈스,4,0,2,7,0,0,0,대구,26.6,0,61,,,,,,,,,
6.23일,LG 트윈스,11,1,2,7,1,0,1,대구,24.5,0,64,,,,,,,,,
6.28금,LG 트윈스,5,0,1,12,0,0,0,서울,28.7,0,41,,,,,,,,,
6.29토,LG 트윈스,8,0,0,7,0,0,1,서울,31.3,0,45,,,,,,,,,
6.30일,LG 트윈스,12,0,1,1,0,1,1,서울,31.5,0,43,,,,,,,,,
7.3수,LG 트윈스,9,0,3,5,1,0,1,서울,28.4,0,54,,,,,,,,,
7.5금,LG 트윈스,13,1,0,2,1,1,0,서울,29.1,0,60,,,,,,,,,
7.6토,LG 트윈스,9,0,1,4,1,0,0,서울,29.2,0,57,,,,,,,,,
7.7일,LG 트윈스,4,1,1,11,0,0,0,서울,25,0,82,,,,,,,,,
7.9화,LG 트윈스,8,0,0,2,1,1,1,서울,24.9,0,81,,,,,,,,,
7.10수,LG 트윈스,11,0,0,0,1,0,1,서울,26,0,79,,,,,,,,,
7.11목,LG 트윈스,9,0,1,9,0,1,1,서울,24.9,0,86,,,,,,,,,
7.13토,LG 트윈스,20,1,0,9,1,1,1,인천,23.9,0,99,,,,,,,,,
7.16화,LG 트윈스,11,3,2,8,1,0,1,부산,27.9,0,68,,,,,,,,,
7.17수,LG 트윈스,10,1,1,5,1,1,1,부산,27.9,0,64,,,,,,,,,
7.23화,LG 트윈스,17,0,3,4,1,1,1,서울,26.2,0,88,,,,,,,,,
7.24수,LG 트윈스,9,0,1,8,0,2,0,서울,26.6,0,58,,,,,,,,,
7.25목,LG 트윈스,8,0,2,4,0,0,1,서울,29.4,0,51,,,,,,,,,
7.26금,LG 트윈스,18,2,2,9,1,2,0,서울,29.6,0,57,,,,,,,,,
7.27토,LG 트윈스,14,0,0,3,1,0,1,서울,27.4,0,63,,,,,,,,,
7.28일,LG 트윈스,12,0,3,3,0,1,0,서울,26.2,0,88,,,,,,,,,
8.2금,LG 트윈스,7,1,2,7,0,1,1,서울,28.7,0,81,,,,,,,,,
8.3토,LG 트윈스,6,0,0,5,1,1,0,서울,30.8,0,63,,,,,,,,,
8.4일,LG 트윈스,12,2,2,6,1,2,1,서울,29.8,0,66,,,,,,,,,
8.6화,LG 트윈스,5,1,0,7,0,0,1,창원,29.5,0,76,,,,,,,,,
