day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
8.25,kt wiz,5,0,0,8,2,1,0,수원,29.3,0,0,,,,,,,,,
8.26,kt wiz,10,1,1,9,0,1,1,수원,24.6,0,0,,,,,,,,,
8.27,kt wiz,9,0,0,7,1,2,0,서울,27.8,0,0,,,,,,,,,
8.28,kt wiz,16,1,1,8,0,0,1,서울,19.5,0.5,0,,,,,,,,,
8.3,kt wiz,9,0,0,10,0,0,0,수원,22.5,0,0,,,,,,,,,
8.31,kt wiz,4,0,0,8,0,1,0,수원,21.7,0,0,,,,,,,,,
9.1,kt wiz,2,0,0,6,0,0,0,서울,27.7,0,44,,,,,,,,,
9.2,kt wiz,9,1,1,9,0,1,0,서울,25.8,0,62,,,,,,,,,
9.3,kt wiz,9,1,0,3,0,1,1,수원,27.3,0,65,,,,,,,,,
9.4,kt wiz,11,1,0,5,0,0,1,수원,28.5,0,65,,,,,,,,,
9.6,kt wiz,14,1,0,9,3,3,0,대구,26.7,0,68,,,,,,,,,
9.7,kt wiz,18,5,0,6,1,2,1,대구,27.2,0,60,,,,,,,,,
9.8,kt wiz,11,2,0,3,1,0,0,대전,23.8,3.3,84,,,,,,,,,
9.9,kt wiz,6,0,0,5,0,1,0,대전,26.9,0,63,,,,,,,,,
9.1,kt wiz,12,2,0,8,1,0,1,수원,26.1,0,63,,,,,,,,,
9.11,kt wiz,7,0,0,7,2,1,0,수원,25.7,0,62,,,,,,,,,
9.13,kt wiz,9,1,2,10,0,0,0,수원,26.3,0,64,,,,,,,,,
9.14,kt wiz,15,1,1,4,1,1,0,수원,25.5,0,68,,,,,,,,,
9.15,kt wiz,9,0,0,5,1,0,0,서울,26.1,0,66,,,,,,,,,
9.16,kt wiz,6,0,0,7,2,0,0,서울,26.1,0,59,,,,,,,,,
9.17,kt wiz,15,0,1,0,4,2,0,수원,24.3,0,63,,,,,,,,,
9.18,kt wiz,8,0,0,7,0,0,0,수원,23.9,0,60,,,,,,,,,
9.2,kt wiz,9,2,1,4,1,1,1,수원,23.7,0,33,,,,,,,,,
9.22,kt wiz,11,1,1,10,0,1,0,서울,25.5,0,35,,,,,,,,,
9.23,kt wiz,7,0,2,7,1,1,1,수원,23.3,0,58,,,,,,,,,
9.25,kt wiz,9,0,2,6,0,1,1,수원,24.1,0,60,,,,,,,,,
9.27,kt wiz,12,0,0,4,1,2,0,부산,26,0,80,,,,,,,,,
9.29,kt wiz,13,2,0,9,2,1,0,부산,18.8,0,80,,,,,,,,,
9.3,kt wiz,10,2,0,8,1,0,0,부산,17.9,0,96,,,,,,,,,
10.2,kt wiz,4,0,1,9,0,0,0,광주,24.7,0,91,,,,,,,,,
10.3,kt wiz,10,0,0,7,0,2,0,광주,24.7,0,94,,,,,,,,,
10.5,kt wiz,9,1,0,6,2,0,0,수원,21.7,0,77,,,,,,,,,
10.7,kt wiz,9,0,0,9,3,0,1,창원,19.4,0,82,,,,,,,,,
10.9,kt wiz,14,0,1,7,0,1,1,창원,15,0,60,,,,,,,,,
4.1,kt wiz,3,1,0,6,0,0,1,인천,9.2,0,72,,,,,,,,,
4.2,kt wiz,11,2,1,6,0,0,1,인천,9.4,0,61,,,,,,,,,
4.4,kt wiz,3,0,0,7,0,0,0,수원,16.5,0,27,,,,,,,,,
4.6,kt wiz,8,1,1,10,1,0,1,수원,10.7,0,89,,,,,,,,,
