day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
8.15토,18:00,KIA 타이거즈,7,0,1,7,1,0,승
8.15토,18:00,LG 트윈스,6,0,0,5,1,0,패
8.15토,18:00,kt wiz,9,1,0,9,3,0,패
8.15토,18:00,NC 다이노스,11,0,5,5,0,0,승
8.15토,18:00,롯데 자이언츠,7,2,0,8,1,1,승
8.15토,18:00,키움 히어로즈,6,2,2,6,0,0,패
8.15토,18:00,두산 베어스,13,2,0,7,1,1,승
8.15토,18:00,SK 와이번스,7,0,0,10,0,0,패
8.16일,18:00,한화 이글스,8,0,0,8,0,1,패
8.16일,18:00,삼성 라이온즈,7,0,1,8,1,0,승
8.16일,18:00,kt wiz,7,2,0,6,2,0,승
8.16일,18:00,NC 다이노스,7,0,0,9,0,2,패
8.17월,18:30,KIA 타이거즈,6,1,0,6,2,0,패
8.17월,18:30,LG 트윈스,11,0,1,4,1,0,승
8.17월,18:30,롯데 자이언츠,11,0,0,12,1,0,패
8.17월,18:30,키움 히어로즈,16,1,0,8,2,1,승
8.17월,18:30,두산 베어스,11,0,1,6,1,0,승
8.17월,18:30,SK 와이번스,3,1,0,4,1,0,패
8.18화,18:30,LG 트윈스,8,0,2,7,0,2,패
8.18화,18:30,롯데 자이언츠,8,2,0,8,1,1,승
8.18화,18:30,NC 다이노스,6,1,0,4,0,0,승
8.18화,18:30,한화 이글스,2,1,0,10,1,0,패
8.18화,18:30,SK 와이번스,6,1,0,6,1,1,패
8.18화,18:30,KIA 타이거즈,6,1,0,9,0,1,승
8.18화,18:30,삼성 라이온즈,15,0,1,7,1,0,승
8.18화,18:30,두산 베어스,7,0,0,5,2,0,패
8.18화,18:30,키움 히어로즈,9,0,0,4,1,2,패
8.18화,18:30,kt wiz,16,2,2,4,2,0,승
8.19수,18:30,LG 트윈스,6,0,0,2,2,0,패
8.19수,18:30,롯데 자이언츠,9,0,0,7,1,1,승
8.19수,18:30,NC 다이노스,7,0,5,5,0,0,승
8.19수,18:30,한화 이글스,5,0,0,6,1,0,패
8.19수,18:30,SK 와이번스,7,0,0,4,0,0,패
8.19수,18:30,KIA 타이거즈,8,0,1,6,2,0,승
8.19수,18:30,삼성 라이온즈,12,0,0,9,0,0,승
8.19수,18:30,두산 베어스,11,0,0,9,1,0,패
8.19수,18:30,키움 히어로즈,10,1,0,5,5,2,패
8.19수,18:30,kt wiz,15,1,1,11,1,5,승
8.20목,18:30,kt wiz,14,0,3,5,0,1,승
8.20목,18:30,한화 이글스,5,2,0,11,0,0,패
8.20목,18:30,두산 베어스,8,1,0,6,2,3,패
8.20목,18:30,LG 트윈스,8,0,1,4,1,0,승
8.20목,18:30,SK 와이번스,8,1,1,9,2,0,패
8.20목,18:30,키움 히어로즈,11,2,0,14,0,1,승
8.21금,18:30,KIA 타이거즈,5,1,0,6,1,0,패
