day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,team_location,기온(°C),강수량(mm),습도(%),,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
4.15,한화,9,0,0,4,4,3,패,대전,,,,,,,108,서울,7.23,30.4,,65
4.15,롯데,4,0,0,13,0,1,패,창원,,,,,,,108,서울,7.24,29.4,,73
4.15,NC,9,0,2,10,1,1,승,창원,,,,,,,108,서울,7.25,30.8,,64
4.15,SK,9,2,1,9,2,0,승,수원,,,,,,,108,서울,7.26,29.9,,64
4.15,kt,7,0,0,8,1,2,패,수원,,,,,,,108,서울,7.27,28.4,,75
4.15,삼성,6,0,0,5,1,2,패,서울,,,,,,,108,서울,7.28,29.3,,61
4.15,두산,11,0,0,5,1,3,승,서울,,,,,,,108,서울,7.29,28.1,,76
4.15,키움,10,0,1,6,0,4,패,광주,,,,,,,108,서울,7.30,31.2,,53
4.15,KIA,13,1,3,4,2,1,승,광주,,,,,,,108,서울,7.31,30.4,,66
4.17,롯데,12,2,1,7,1,0,승,창원,,,,,,,108,서울,8.1,29.7,,63
4.17,NC,13,1,0,5,2,1,패,창원,,,,,,,108,서울,8.2,27.1,0,73
4.17,SK,11,1,0,7,2,4,승,수원,,,,,,,108,서울,8.3,33.3,,49
4.17,kt,9,0,1,8,1,1,패,수원,,,,,,,108,서울,8.4,35,,36
4.17,삼성,3,0,1,5,1,1,패,서울,,,,,,,108,서울,8.5,35.1,,46
4.17,두산,12,0,2,7,2,0,승,서울,,,,,,,108,서울,8.6,33.5,,55
4.17,키움,9,0,0,3,3,0,승,광주,,,,,,,108,서울,8.7,33.5,,45
4.17,KIA,11,1,0,5,0,0,패,광주,,,,,,,108,서울,8.8,33.1,,59
4.17,LG,10,2,1,11,0,3,승,대전,,,,,,,108,서울,8.9,32,,60
4.17,한화,7,0,1,11,2,0,패,대전,,,,,,,108,서울,8.10,31.6,,55
4.19,한화,8,1,0,11,0,1,패,부산,,,,,,,108,서울,8.11,34.7,,50
4.19,롯데,5,0,0,8,0,0,승,부산,,,,,,,108,서울,8.12,33.7,,60
4.19,NC,12,1,0,6,0,1,승,서울,,,,,,,108,서울,8.13,32.9,,56
4.19,LG,1,0,0,8,0,1,패,서울,,,,,,,108,서울,8.14,30.7,,70
4.19,두산,7,0,0,7,1,1,승,수원,,,,,,,108,서울,8.15,30.7,,64
4.19,kt,10,1,0,4,3,1,패,수원,,,,,,,108,서울,8.16,31,,63
4.19,삼성,10,1,0,7,1,0,패,광주,,,,,,,108,서울,8.17,33.5,,47
4.19,KIA,11,2,0,5,1,1,승,광주,,,,,,,108,서울,8.18,31.7,,58
4.19,키움,10,1,0,8,1,0,승,인천,,,,,,,108,서울,8.19,26.7,10.5,89
4.19,SK,7,1,1,9,0,1,패,인천,,,,,,,108,서울,8.20,33.5,,44
4.2,한화,10,1,0,3,1,1,패,부산,,,,,,,108,서울,8.21,34,,46
4.2,롯데,17,1,5,6,2,0,승,부산,,,,,,,108,서울,8.22,35.1,,42
4.2,NC,11,0,0,6,3,1,패,서울,,,,,,,108,서울,8.23,27.6,,80
4.2,LG,6,2,0,5,0,0,승,서울,,,,,,,108,서울,8.24,31.9,,49
4.2,두산,16,2,0,10,1,1,승,수원,,,,,,,108,서울,8.25,27.6,0.3,80
4.2,kt,8,2,4,13,0,1,패,수원,,,,,,,108,서울,8.26,27,,35
4.2,삼성,9,0,0,5,1,1,승,광주,,,,,,,108,서울,8.27,27.8,,38
4.2,KIA,7,0,2,6,2,1,패,광주,,,,,,,108,서울,8.28,19.5,0.5,81
4.2,키움,8,1,0,9,2,3,패,인천,,,,,,,108,서울,8.29,24.6,,50
4.2,SK,13,1,0,2,1,0,승,인천,,,,,,,108,서울,8.30,21.9,,59
4.21,한화,13,0,2,10,0,1,승,부산,,,,,,,108,서울,8.31,18.6,0,81
4.21,롯데,9,0,3,9,1,1,패,부산,,,,,,,108,서울,9.1,27.7,,44
4.21,NC,14,0,0,6,0,0,승,서울,,,,,,,108,서울,9.2,25.8,,62
4.21,LG,12,3,0,11,0,2,패,서울,,,,,,,108,서울,9.3,27.9,,59
4.21,두산,9,1,0,7,1,0,패,수원,,,,,,,108,서울,9.4,27.5,,68
4.21,kt,14,2,1,3,1,0,승,수원,,,,,,,108,서울,9.5,28.9,,53
4.21,삼성,15,1,0,7,1,0,승,광주,,,,,,,108,서울,9.6,26.6,,57
4.21,KIA,7,0,0,8,0,2,패,광주,,,,,,,108,서울,9.7,26,,64
4.21,키움,6,1,1,11,0,2,패,인천,,,,,,,108,서울,9.8,24.1,,67
4.21,SK,6,1,2,5,0,1,승,인천,,,,,,,108,서울,9.9,27.6,,49
4.22,한화,7,1,0,6,0,0,패,서울,,,,,,,108,서울,9.10,27.4,,51
4.22,두산,13,1,1,4,0,0,승,서울,,,,,,,108,서울,9.11,25.7,,63
4.22,KIA,10,2,0,10,0,2,패,부산,,,,,,,108,서울,9.12,26,,56
4.22,롯데,13,0,1,3,0,0,승,부산,,,,,,,108,서울,9.13,27.1,,59
4.22,kt,16,2,0,5,1,0,승,대구,,,,,,,108,서울,9.14,26.7,,55
4.22,삼성,9,1,0,2,1,0,패,대구,,,,,,,108,서울,9.15,26.1,,66
4.22,LG,5,1,0,6,1,1,패,서울,,,,,,,108,서울,9.16,26.1,,59
4.22,키움,14,2,0,6,2,0,승,서울,,,,,,,108,서울,9.17,26.7,,51
4.22,NC,8,1,0,8,1,0,승,인천,,,,,,,108,서울,9.18,24.8,,50
4.22,SK,9,1,0,8,1,2,패,인천,,,,,,,108,서울,9.19,23.2,,50
4.23,한화,6,1,0,9,0,0,패,서울,,,,,,,108,서울,9.20,24.3,,31
4.23,두산,7,1,2,5,1,0,승,서울,,,,,,,108,서울,9.21,23.2,,35
4.23,KIA,21,3,0,7,0,1,승,부산,,,,,,,108,서울,9.22,25.5,,35
4.23,롯데,14,2,2,7,1,4,패,부산,,,,,,,108,서울,9.23,24.4,,50
4.23,kt,12,1,2,5,1,0,승,대구,,,,,,,108,서울,9.24,24.9,,57
4.23,삼성,7,0,0,3,1,0,패,대구,,,,,,,108,서울,9.25,26.1,,45
4.23,LG,8,0,0,8,0,0,패,서울,,,,,,,108,서울,9.26,26.6,,52
4.23,키움,18,2,0,11,0,2,승,서울,,,,,,,108,서울,9.27,19.7,1.5,90
4.23,NC,6,1,0,7,0,3,패,인천,,,,,,,108,서울,9.28,20.7,,81
4.23,SK,13,0,0,7,1,0,승,인천,,,,,,,108,서울,9.29,21.7,,61
4.24,KIA,15,2,3,5,0,0,승,부산,,,,,,,108,서울,9.30,22.3,,62
4.24,롯데,8,3,0,10,0,1,패,부산,,,,,,,108,서울,10.1,23.6,,59
4.24,kt,6,0,0,6,1,1,패,대구,,,,,,,108,서울,10.2,16.7,6.5,93
4.24,삼성,10,1,0,3,0,0,승,대구,,,,,,,108,서울,10.3,25.2,,53
4.24,LG,10,1,1,8,0,0,승,서울,,,,,,,108,서울,10.4,26.1,,49
4.24,키움,11,0,2,6,0,1,패,서울,,,,,,,108,서울,10.5,23.3,,61
4.24,NC,5,2,0,6,1,0,패,인천,,,,,,,108,서울,10.6,20.4,,48
4.24,SK,9,1,1,7,0,0,승,인천,,,,,,,108,서울,10.7,20.3,0.5,73
4.24,한화,4,1,0,9,0,5,패,서울,,,,,,,108,서울,10.8,17.9,,39
4.24,두산,5,0,0,6,2,1,승,서울,,,,,,,108,서울,10.9,13.6,,39
4.26,KIA,7,0,1,11,0,1,패,대전,,,,,,,108,서울,10.10,17.2,,38
4.26,한화,6,1,0,5,1,0,승,대전,,,,,,,108,서울,10.11,18.3,,64
4.26,LG,7,0,2,8,0,0,승,대구,,,,,,,108,서울,10.12,17,,37
4.26,삼성,2,0,0,7,1,0,패,대구,,,,,,,108,서울,10.13,18.1,,39
4.26,롯데,5,0,1,8,0,0,패,수원,,,,,,,108,서울,10.14,20.4,,56
4.26,kt,7,1,0,4,2,0,승,수원,,,,,,,108,서울,10.15,22.6,,49
4.26,SK,13,0,0,6,1,1,패,서울,,,,,,,108,서울,10.16,17.2,,80
4.26,두산,7,1,1,6,2,1,승,서울,,,,,,,108,서울,10.17,18.9,,74
4.26,키움,9,0,0,10,1,0,패,창원,,,,,,,108,서울,10.18,20.7,,57
4.26,NC,11,0,0,3,1,0,승,창원,,,,,,,108,서울,10.19,20,,61
4.27,롯데,10,0,0,6,0,1,승,수원,,,,,,,108,서울,10.20,22.8,,47
4.27,kt,3,0,0,6,1,0,패,수원,,,,,,,108,서울,10.21,18.7,,57
4.27,SK,6,1,1,8,0,0,승,서울,,,,,,,108,서울,10.22,19.7,,58
4.27,두산,9,0,0,5,1,1,패,서울,,,,,,,108,서울,10.23,10.6,0.5,85
4.28,KIA,7,1,0,13,0,0,패,대전,,,,,,,108,서울,10.24,17.7,,49
4.28,한화,9,0,2,7,0,3,승,대전,,,,,,,108,서울,10.25,16.1,,73
4.28,LG,11,3,0,11,0,2,패,대구,,,,,,,108,서울,10.26,14.9,,79
4.28,삼성,7,1,2,9,0,0,승,대구,,,,,,,108,서울,10.27,17.9,,55
4.28,롯데,12,4,1,5,1,0,승,수원,,,,,,,108,서울,10.28,15.5,,44
4.28,kt,8,1,0,7,2,1,패,수원,,,,,,,108,서울,10.29,8.7,,33
4.28,SK,8,0,2,6,2,0,패,서울,,,,,,,108,서울,10.30,10.8,,24
4.28,두산,9,1,1,1,2,1,승,서울,,,,,,,112,인천,4.1,16.1,,39
4.28,키움,9,1,1,7,0,1,승,창원,,,,,,,112,인천,4.2,14.4,,59
4.28,NC,8,0,1,11,0,1,패,창원,,,,,,,112,인천,4.3,11.3,0,72
4.29,kt,7,0,1,5,1,2,패,서울,,,,,,,112,인천,4.4,14.3,,34
4.29,LG,10,1,0,8,0,0,승,서울,,,,,,,112,인천,4.5,11.3,,59
4.29,NC,9,2,0,8,1,0,승,부산,,,,,,,112,인천,4.6,18.1,,43
4.29,롯데,7,1,1,7,1,0,패,부산,,,,,,,112,인천,4.7,15.3,,76
4.29,두산,5,0,0,5,0,3,패,광주,,,,,,,112,인천,4.8,7.5,,98
4.29,KIA,7,0,0,9,0,0,승,광주,,,,,,,112,인천,4.9,11.1,,98
4.29,SK,10,0,0,5,0,2,승,서울,,,,,,,112,인천,4.10,11.2,,98
4.29,키움,7,0,1,7,1,0,패,서울,,,,,,,112,인천,4.11,14.5,,61
4.29,삼성,9,2,1,8,2,0,패,대전,,,,,,,112,인천,4.12,15.3,,51
4.29,한화,15,3,0,6,1,0,승,대전,,,,,,,112,인천,4.13,16.5,,92
4.3,kt,9,0,0,6,0,0,승,서울,,,,,,,112,인천,4.14,9.9,,98
4.3,LG,5,0,0,7,0,0,패,서울,,,,,,,112,인천,4.15,16.1,,52
4.3,NC,11,2,0,9,0,1,승,부산,,,,,,,112,인천,4.16,15.6,0.9,96
4.3,롯데,5,0,0,12,1,0,패,부산,,,,,,,112,인천,4.17,10.7,,79
4.3,두산,10,1,1,6,1,0,승,광주,,,,,,,112,인천,4.18,10.1,0.2,98
4.3,KIA,11,1,0,7,1,1,패,광주,,,,,,,112,인천,4.19,12.5,,75
4.3,SK,13,1,1,7,0,0,승,서울,,,,,,,112,인천,4.20,13.1,0,96
4.3,키움,5,0,1,7,1,1,패,서울,,,,,,,112,인천,4.21,15.6,,98
4.3,삼성,10,2,0,3,2,1,승,대전,,,,,,,112,인천,4.22,10.3,,98
