day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
6.4화,키움 히어로즈,5,2,0,9,0,0,1,서울,27,0,45,,,,,,,,,
6.6목,키움 히어로즈,18,1,4,5,0,0,1,서울,28.7,0,36,,,,,,,,,
6.7금,키움 히어로즈,12,3,2,3,0,1,1,서울,28.5,0,34,,,,,,,,,
6.8토,키움 히어로즈,10,2,0,7,0,0,0,서울,29.5,0,48,,,,,,,,,
6.9일,키움 히어로즈,10,0,1,8,0,5,0,서울,31.4,0,21,,,,,,,,,
6.12수,키움 히어로즈,9,1,1,4,0,0,0,부산,22.8,0,80,,,,,,,,,
6.13목,키움 히어로즈,5,0,0,12,0,1,0,부산,22.8,0,76,,,,,,,,,
6.14금,키움 히어로즈,7,1,0,8,2,0,0,서울,27,0,54,,,,,,,,,
6.15토,키움 히어로즈,5,0,0,7,3,2,0,서울,27.6,0,45,,,,,,,,,
6.16일,키움 히어로즈,11,0,1,8,1,1,0,서울,24.4,0,58,,,,,,,,,
6.21금,키움 히어로즈,8,0,0,4,2,1,0,서울,29.6,0,49,,,,,,,,,
6.22토,키움 히어로즈,5,1,1,7,0,0,1,서울,25.7,0,66,,,,,,,,,
6.23일,키움 히어로즈,8,1,0,4,0,2,1,서울,25,0,52,,,,,,,,,
6.25화,키움 히어로즈,6,0,0,8,0,0,0,서울,25.9,0,60,,,,,,,,,
6.26수,키움 히어로즈,7,1,3,6,0,1,1,서울,27.4,0,52,,,,,,,,,
6.27목,키움 히어로즈,8,0,0,4,1,1,0,서울,27.6,0,57,,,,,,,,,
6.28금,키움 히어로즈,13,0,1,8,1,1,0,대전,28.8,0,69,,,,,,,,,
6.29토,키움 히어로즈,13,2,1,9,1,1,1,대전,30.5,0,60,,,,,,,,,
6.30일,키움 히어로즈,6,2,0,9,0,0,1,대전,31.1,0,56,,,,,,,,,
7.2화,키움 히어로즈,6,0,1,8,0,1,0,창원,26.1,0,83,,,,,,,,,
7.3수,키움 히어로즈,9,0,0,14,1,2,0,창원,25.4,0,83,,,,,,,,,
7.5금,키움 히어로즈,13,2,4,6,1,1,1,서울,29.1,0,60,,,,,,,,,
7.6토,키움 히어로즈,11,0,1,2,2,2,1,서울,29.2,0,57,,,,,,,,,
7.7일,키움 히어로즈,16,2,2,8,1,2,1,서울,25,0,82,,,,,,,,,
7.9화,키움 히어로즈,7,1,0,3,0,1,1,서울,24.9,0,81,,,,,,,,,
7.10수,키움 히어로즈,8,0,0,3,0,1,0,서울,26,0,79,,,,,,,,,
7.16화,키움 히어로즈,9,2,0,7,2,1,0,인천,25.8,0,88,,,,,,,,,
