day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.21화,19:00,LG 트윈스,대전,11,0,3,3,0,1,승,17.5,,2.5,200,37,1007.1,14.5
4.21화,19:00,롯데 자이언츠,부산,6,0,1,8,1,0,패,14,,0,0,66,1007.8,14.4
4.21화,19:00,KIA 타이거즈,부산,7,0,0,7,0,0,승,14,,0,0,66,1007.8,14.4
4.21화,19:00,두산 베어스,서울,6,0,0,9,0,2,패,16.2,,3.2,270,26,1004.8,12.1
4.21화,19:00,키움 히어로즈,서울,14,3,0,15,0,0,승,16.2,,3.2,270,26,1004.8,12.1
4.21화,19:00,SK 와이번스,인천,10,0,1,8,1,1,승,12.6,,2.2,230,53,1007.2,11.8
4.21화,19:00,kt wiz,인천,9,0,1,10,1,1,패,12.6,,2.2,230,53,1007.2,11.8
4.21화,19:00,삼성 라이온즈,대구,10,1,0,3,3,2,승,20.3,,0.2,0,23,1007.3,15.6
4.21화,19:00,NC 다이노스,대구,2,0,0,9,0,0,패,20.3,,0.2,0,23,1007.3,15.6
4.22수,19:00,한화 이글스,대전,5,1,3,8,0,0,승,16.5,,1.1,250,61,1010.3,15.5
4.22수,19:00,LG 트윈스,대전,9,1,1,8,2,1,패,16.5,,1.1,250,61,1010.3,15.5
4.22수,19:00,롯데 자이언츠,부산,7,2,1,6,0,0,승,18.2,,3.6,250,48,1008.2,16
4.22수,19:00,KIA 타이거즈,부산,13,0,0,6,1,0,패,18.2,,3.6,250,48,1008.2,16
4.22수,19:00,두산 베어스,서울,15,5,1,7,0,1,승,16.4,,2.4,270,46,1007.7,13.6
4.22수,19:00,키움 히어로즈,서울,13,3,0,9,1,1,패,16.4,,2.4,270,46,1007.7,13.6
4.22수,19:00,SK 와이번스,인천,8,0,1,10,1,1,패,12.7,,3.8,250,79,1010,10.9
4.22수,19:00,kt wiz,인천,7,1,1,11,0,0,승,12.7,,3.8,250,79,1010,10.9
4.22수,19:00,삼성 라이온즈,대구,9,2,0,8,0,0,승,20.3,,3.3,320,32,1009.6,17.1
4.22수,19:00,NC 다이노스,대구,6,1,4,11,1,0,패,20.3,,3.3,320,32,1009.6,17.1
4.23목,19:00,한화 이글스,대전,6,1,1,8,1,1,패,17.7,,4.9,180,23,1011.3,15.7
