day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
9.16월,KIA 타이거즈,10,1,2,4,1,2,패
9.16월,한화 이글스,14,0,1,8,1,0,승
9.16월,키움 히어로즈,8,1,1,8,0,0,승
9.16월,NC 다이노스,4,0,2,2,0,2,패
9.17화,KIA 타이거즈,8,0,0,6,1,0,승
9.17화,한화 이글스,7,0,1,7,1,0,패
9.17화,LG 트윈스,12,0,1,4,1,0,승
9.17화,SK 와이번스,9,2,0,7,1,0,패
9.17화,두산 베어스,8,1,0,3,1,0,패
9.17화,삼성 라이온즈,10,0,0,4,1,3,승
9.17화,키움 히어로즈,12,1,1,9,0,0,승
9.17화,롯데 자이언츠,8,0,0,11,1,0,패
9.18수,한화 이글스,8,0,0,6,3,0,패
9.18수,두산 베어스,11,0,1,4,1,0,승
9.18수,KIA 타이거즈,11,2,3,6,1,1,패
9.18수,롯데 자이언츠,16,1,1,6,0,3,승
9.18수,LG 트윈스,10,1,1,7,2,1,승
9.18수,SK 와이번스,7,2,0,7,2,0,패
9.18수,NC 다이노스,6,1,2,8,0,1,패
9.18수,삼성 라이온즈,11,2,0,6,1,0,승
9.19목,LG 트윈스,6,1,0,13,0,0,패
9.19목,SK 와이번스,10,1,3,5,2,1,승
9.19목,NC 다이노스,7,2,0,3,0,1,패
9.19목,롯데 자이언츠,12,2,1,2,2,1,승
9.19목,삼성 라이온즈,13,2,0,6,2,0,승
9.19목,두산 베어스,7,0,0,9,1,0,패
9.19목,키움 히어로즈,6,1,4,9,2,0,승
9.19목,KIA 타이거즈,4,0,1,10,0,0,패
9.20금,두산 베어스,10,1,1,10,1,0,승
9.20금,LG 트윈스,7,0,1,9,0,0,패
9.20금,SK 와이번스,10,1,4,10,1,1,패
9.20금,한화 이글스,12,0,0,8,1,0,승
9.20금,키움 히어로즈,11,2,1,5,1,0,승
9.20금,KIA 타이거즈,2,0,0,8,0,1,패
9.21토,KIA 타이거즈,12,0,0,6,2,0,패
9.21토,두산 베어스,11,2,1,2,0,0,승
9.21토,SK 와이번스,14,2,1,4,2,1,승
9.21토,한화 이글스,6,1,0,7,1,0,패
9.21토,삼성 라이온즈,14,0,2,8,0,0,승
9.21토,키움 히어로즈,10,1,1,9,0,2,패
9.22일,KIA 타이거즈,8,0,1,7,0,2,패
9.22일,두산 베어스,12,2,2,5,0,0,승
9.22일,LG 트윈스,12,1,2,5,0,0,승
9.22일,NC 다이노스,7,1,0,4,2,0,패
9.22일,롯데 자이언츠,7,0,2,9,0,2,패
9.22일,키움 히어로즈,7,1,7,2,1,0,승
9.22일,SK 와이번스,7,0,3,7,0,2,승
9.22일,한화 이글스,6,0,1,10,0,1,패
9.23월,한화 이글스,3,0,0,8,2,2,패
9.23월,삼성 라이온즈,5,1,1,5,0,0,승
9.23월,롯데 자이언츠,16,0,0,6,0,0,승
9.23월,두산 베어스,6,1,2,6,1,0,패
9.24화,롯데 자이언츠,11,0,1,9,0,1,승
9.24화,KIA 타이거즈,9,0,1,9,1,0,패
9.24화,삼성 라이온즈,11,2,1,4,1,0,승
9.24화,SK 와이번스,9,3,1,6,1,0,패
9.25수,LG 트윈스,5,0,0,6,0,1,패
9.25수,한화 이글스,14,1,1,5,0,0,승
9.25수,롯데 자이언츠,6,0,0,5,0,2,패
9.25수,KIA 타이거즈,6,1,1,5,0,0,승
9.25수,NC 다이노스,5,1,0,10,1,1,승
9.25수,키움 히어로즈,7,0,0,9,1,1,패
9.25수,삼성 라이온즈,11,1,0,11,1,0,승
9.25수,SK 와이번스,5,1,1,10,1,0,패
9.26목,롯데 자이언츠,5,0,0,2,0,0,승
9.26목,KIA 타이거즈,7,1,0,7,0,0,패
9.26목,NC 다이노스,4,0,0,10,0,1,패
9.26목,두산 베어스,14,0,0,3,1,0,승
9.26목,삼성 라이온즈,7,2,0,6,1,0,패
9.26목,SK 와이번스,9,3,1,4,1,1,승
9.27금,한화 이글스,6,1,0,14,0,0,패
9.27금,NC 다이노스,5,0,1,5,0,0,승
9.27금,KIA 타이거즈,7,1,0,11,1,0,무
9.27금,SK 와이번스,11,1,2,11,0,1,무
9.27금,롯데 자이언츠,8,1,0,10,1,0,승
9.27금,삼성 라이온즈,8,0,2,5,0,2,패
9.28토,한화 이글스,4,0,0,15,0,1,패
9.28토,롯데 자이언츠,10,3,0,5,2,0,승
9.28토,KIA 타이거즈,12,3,0,6,0,1,승
9.28토,SK 와이번스,11,1,1,10,1,2,패
9.28토,키움 히어로즈,9,1,1,8,0,1,승
9.28토,LG 트윈스,5,0,0,7,1,0,패
9.29일,한화 이글스,15,0,0,6,0,2,승
9.29일,KIA 타이거즈,11,0,4,6,2,0,패
9.29일,두산 베어스,8,1,2,7,0,0,패
9.29일,키움 히어로즈,12,4,1,6,0,0,승
9.29일,삼성 라이온즈,9,1,0,6,0,0,패
9.29일,LG 트윈스,13,0,3,9,0,2,승
9.30월,KIA 타이거즈,5,0,0,9,0,2,승
9.30월,NC 다이노스,6,0,3,13,1,1,패
9.30월,두산 베어스,15,0,1,2,1,0,승
9.30월,LG 트윈스,11,0,0,5,4,1,패
9.30월,SK 와이번스,7,0,0,8,1,3,패
9.30월,롯데 자이언츠,12,0,3,9,0,1,승
9.30월,삼성 라이온즈,13,4,0,5,2,0,승
9.30월,한화 이글스,8,1,0,10,1,0,패
